#Iter Objective            rel.obj      ||grad||           rel.||grad||    stepsize
118: 2.04906982575456e-01  3.0494e-01  7.50110281663909e-01  3.4810e-02  0.00156250
119: 2.04828384270588e-01  3.0482e-01  1.36476882616656e+00  6.3334e-02  0.00312500
120: 2.03975823265152e-01  3.0355e-01  9.03554561955900e-01  4.1931e-02  0.00156250
121: 2.03435379254121e-01  3.0275e-01  6.57211607788574e-01  3.0499e-02  0.00156250
122: 2.03124855104073e-01  3.0229e-01  1.10152124527373e+00  5.1118e-02  0.00312500
123: 2.02457613156707e-01  3.0129e-01  7.54464952168148e-01  3.5012e-02  0.00156250
124: 2.02411833984710e-01  3.0123e-01  1.36712776175037e+00  6.3444e-02  0.00312500
125: 2.01531643292815e-01  2.9992e-01  8.91927677983690e-01  4.1391e-02  0.00156250
126: 2.01009837429419e-01  2.9914e-01  6.52788793965709e-01  3.0294e-02  0.00156250
127: 2.00710870350248e-01  2.9870e-01  1.10552048984383e+00  5.1304e-02  0.00312500
128: 2.00060939144706e-01  2.9773e-01  7.61207631744120e-01  3.5325e-02  0.00156250
129: 2.00057079493752e-01  2.9772e-01  1.40687681117879e+00  6.5289e-02  0.00312500
130: 1.99180346020646e-01  2.9642e-01  9.24077514553898e-01  4.2883e-02  0.00156250
131: 1.98638315328128e-01  2.9561e-01  6.63095161674406e-01  3.0772e-02  0.00156250
132: 1.98384310640283e-01  2.9523e-01  1.13226960101512e+00  5.2545e-02  0.00312500
133: 1.97705004457378e-01  2.9422e-01  7.66777143187568e-01  3.5584e-02  0.00156250
134: 1.97255169682641e-01  2.9355e-01  5.89312236363111e-01  2.7348e-02  0.00156250
135: 1.96840878628186e-01  2.9294e-01  9.28901326507516e-01  4.3107e-02  0.00312500
136: 1.96308634045385e-01  2.9214e-01  6.67426064873366e-01  3.0973e-02  0.00156250
137: 1.96085862046879e-01  2.9181e-01  1.16109939294057e+00  5.3883e-02  0.00312500
138: 1.95407723100754e-01  2.9080e-01  7.87638759491616e-01  3.6552e-02  0.00156250
139: 1.94948836399216e-01  2.9012e-01  5.94985544348904e-01  2.7611e-02  0.00156250
140: 1.94565695843337e-01  2.8955e-01  9.48060823999724e-01  4.3996e-02  0.00312500
141: 1.94018722692105e-01  2.8874e-01  6.71228230836654e-01  3.1150e-02  0.00156250
142: 1.93823206975870e-01  2.8845e-01  1.16723798188691e+00  5.4168e-02  0.00312500
143: 1.93127076194775e-01  2.8741e-01  7.81813777103754e-01  3.6281e-02  0.00156250
144: 1.92679532251423e-01  2.8674e-01  5.92436407867904e-01  2.7493e-02  0.00156250
145: 1.92309475331510e-01  2.8619e-01  9.53974523001443e-01  4.4271e-02  0.00312500
146: 1.91772126312501e-01  2.8539e-01  6.76747149149923e-01  3.1406e-02  0.00156250
147: 1.91609471710365e-01  2.8515e-01  1.19932895851296e+00  5.5657e-02  0.00312500
148: 1.90913232152171e-01  2.8411e-01  8.05497730641772e-01  3.7381e-02  0.00156250
149: 1.90454152651624e-01  2.8343e-01  5.99527939070271e-01  2.7822e-02  0.00156250
150: 1.90116895217663e-01  2.8293e-01  9.75581524199531e-01  4.5274e-02  0.00312500
151: 1.89561581802112e-01  2.8210e-01  6.81627656085540e-01  3.1632e-02  0.00156250
152: 1.89427461507407e-01  2.8190e-01  1.20653065398748e+00  5.5991e-02  0.00312500
153: 1.88709524146038e-01  2.8084e-01  7.99611220793382e-01  3.7107e-02  0.00156250
154: 1.88262042167226e-01  2.8017e-01  5.97341065589073e-01  2.7721e-02  0.00156250
155: 1.87937296107380e-01  2.7969e-01  9.82586286391879e-01  4.5599e-02  0.00312500
156: 1.87391649202015e-01  2.7887e-01  6.88386776524337e-01  3.1946e-02  0.00156250
157: 1.87292585490725e-01  2.7873e-01  1.24216150488628e+00  5.7645e-02  0.00312500
158: 1.86573282875512e-01  2.7766e-01  8.26382554021910e-01  3.8350e-02  0.00156250
159: 1.86111515732196e-01  2.7697e-01  6.05960496557373e-01  2.8121e-02  0.00156250
160: 1.85821807049179e-01  2.7654e-01  1.00683414583152e+00  4.6724e-02  0.00312500
161: 1.85254563289234e-01  2.7569e-01  6.94388674706740e-01  3.2224e-02  0.00156250
162: 1.85185769944938e-01  2.7559e-01  1.25040826201382e+00  5.8027e-02  0.00312500
163: 1.84440604890542e-01  2.7448e-01  8.20302366472629e-01  3.8068e-02  0.00156250
164: 1.83990924640319e-01  2.7381e-01  6.04089897352129e-01  2.8034e-02  0.00156250
165: 1.83713283753488e-01  2.7340e-01  1.01494064978361e+00  4.7100e-02  0.00312500
166: 1.83155959058843e-01  2.7257e-01  7.02459434559924e-01  3.2599e-02  0.00156250
167: 1.83125013747737e-01  2.7252e-01  1.28990303780085e+00  5.9860e-02  0.00312500
168: 1.82377222542267e-01  2.7141e-01  8.50473017340699e-01  3.9468e-02  0.00156250
169: 1.81910153233203e-01  2.7072e-01  6.14375390564245e-01  2.8511e-02  0.00156250
170: 1.81670420250158e-01  2.7036e-01  1.04205443539986e+00  4.8358e-02  0.00312500
171: 1.81087359678336e-01  2.6949e-01  7.09639358985562e-01  3.2932e-02  0.00156250
172: 1.80695804361520e-01  2.6891e-01  5.48516226036260e-01  2.5455e-02  0.00156250
173: 1.80322138696167e-01  2.6835e-01  8.58155531493785e-01  3.9824e-02  0.00312500
174: 1.79860539024423e-01  2.6767e-01  6.19821745695261e-01  2.8764e-02  0.00156250
175: 1.79648742997822e-01  2.6735e-01  1.07126156239941e+00  4.9714e-02  0.00312500
176: 1.79063185369619e-01  2.6648e-01  7.29748807418481e-01  3.3865e-02  0.00156250
177: 1.78663322623467e-01  2.6588e-01  5.54527971652555e-01  2.5734e-02  0.00156250
178: 1.78316094534865e-01  2.6537e-01  8.77976273987717e-01  4.0744e-02  0.00312500
179: 1.77840918875975e-01  2.6466e-01  6.24891528059586e-01  2.8999e-02  0.00156250
180: 1.77654374339096e-01  2.6438e-01  1.08150903110096e+00  5.0189e-02  0.00312500
181: 1.77051217149601e-01  2.6349e-01  7.27533551430465e-01  3.3762e-02  0.00156250
182: 1.76658916581401e-01  2.6290e-01  5.53694393861984e-01  2.5695e-02  0.00156250
183: 1.76324306758715e-01  2.6240e-01  8.86803440758126e-01  4.1154e-02  0.00312500
184: 1.75854522363284e-01  2.6170e-01  6.31508865444525e-01  2.9306e-02  0.00156250
185: 1.75698126005000e-01  2.6147e-01  1.11409346084963e+00  5.1701e-02  0.00312500
186: 1.75091244030892e-01  2.6057e-01  7.50491219732866e-01  3.4828e-02  0.00156250
187: 1.74688415230744e-01  2.5997e-01  5.61080107048088e-01  2.6038e-02  0.00156250
188: 1.74382342604190e-01  2.5951e-01  9.09149722915491e-01  4.2191e-02  0.00312500
189: 1.73895979748397e-01  2.5879e-01  6.37659809845116e-01  2.9592e-02  0.00156250
190: 1.73766694774371e-01  2.5860e-01  1.12551473640691e+00  5.2231e-02  0.00312500
191: 1.73138648455840e-01  2.5766e-01  7.48255696726732e-01  3.4724e-02  0.00156250
192: 1.72743705924323e-01  2.5707e-01  5.60594313391497e-01  2.6015e-02  0.00156250
193: 1.72450229372270e-01  2.5664e-01  9.19154601195127e-01  4.2655e-02  0.00312500
194: 1.71969310709511e-01  2.5592e-01  6.45538585545698e-01  2.9957e-02  0.00156250
195: 1.71872897199752e-01  2.5578e-01  1.16180421054004e+00  5.3916e-02  0.00312500
196: 1.71239832366023e-01  2.5484e-01  7.74377847898256e-01  3.5936e-02  0.00156250
197: 1.70831807370271e-01  2.5423e-01  5.69504968809384e-01  2.6429e-02  0.00156250
198: 1.70569496356625e-01  2.5384e-01  9.44261780782990e-01  4.3820e-02  0.00312500
199: 1.70068523837897e-01  2.5309e-01  6.52846920519678e-01  3.0297e-02  0.00156250
200: 1.70001502470753e-01  2.5299e-01  1.17440570356684e+00  5.4500e-02  0.00312500
201: 1.69343158859320e-01  2.5201e-01  7.72005837433273e-01  3.5826e-02  0.00156250
202: 1.68943528808911e-01  2.5142e-01  5.69345770223177e-01  2.6421e-02  0.00156250
203: 1.68693866591516e-01  2.5105e-01  9.55480659502225e-01  4.4341e-02  0.00312500
204: 1.68198544921010e-01  2.5031e-01  6.62091040020503e-01  3.0725e-02  0.00156250
