#Iter Objective            rel.obj      ||grad||           rel.||grad||    stepsize
141: 1.10599290987979e-09  1.6459e-09  3.28581947380125e-05  1.5248e-06  0.10000000
142: 9.60918760652877e-10  1.4300e-09  4.42798086659083e-05  2.0549e-06  0.10000000
143: 8.22317575508539e-10  1.2238e-09  3.81845517335793e-05  1.7720e-06  0.10000000
144: 6.94855061600087e-10  1.0341e-09  5.94543146567026e-05  2.7591e-06  0.10000000
145: 5.88385484835101e-10  8.7563e-10  4.71768818513240e-05  2.1893e-06  0.10000000
146: 4.95160633752531e-10  7.3689e-10  5.52996886789420e-05  2.5663e-06  0.10000000
147: 4.11617727140891e-10  6.1256e-10  2.75281700028792e-05  1.2775e-06  0.10000000
148: 3.42807200550371e-10  5.1016e-10  2.89754185355890e-05  1.3447e-06  0.10000000
149: 2.82683007326223e-10  4.2069e-10  2.99003195979872e-05  1.3876e-06  0.10000000
150: 2.32965503189248e-10  3.4670e-10  2.62520899851339e-05  1.2183e-06  0.10000000
151: 1.91395983141486e-10  2.8483e-10  2.36578919063062e-05  1.0979e-06  0.10000000
152: 1.56023393528130e-10  2.3219e-10  2.82277141968308e-05  1.3100e-06  0.10000000
153: 1.25273711159022e-10  1.8643e-10  1.69166428498888e-05  7.8505e-07  0.10000000
